scaffold_1	542173	548173
scaffold_1	796173	802173
scaffold_1	843173	849173
scaffold_1	864173	868173
scaffold_1	906173	912173
scaffold_1	1057173	1060173
scaffold_1	1171173	1174173
scaffold_1	1195940	1209940
scaffold_1	1210940	1217173
scaffold_1	1299173	1309173
scaffold_1	1323173	1335173
scaffold_1	1343173	1349173
scaffold_1	1350940	1354940
scaffold_1	1611940	1617940
scaffold_1	1711940	1715940
scaffold_1	1921940	1925940
scaffold_1	1929940	1935940
scaffold_1	2299510	2310510
scaffold_1	2713510	2722510
scaffold_1	3006510	3011510
scaffold_1	3016510	3050510
scaffold_1	3104510	3110510
scaffold_1	3115510	3118510
scaffold_1	3124510	3129510
scaffold_1	3418510	3427510
scaffold_1	3637510	3643510
scaffold_1	3651510	3663510
scaffold_1	3822530	3827530
scaffold_1	3926510	3932530
scaffold_1	3968510	3971510
scaffold_1	4230530	4236530
scaffold_1	4242530	4248530
scaffold_1	4271530	4274530
scaffold_1	4276530	4288530
scaffold_1	4338530	4344530
scaffold_1	4427530	4430530
scaffold_1	4435530	4438530
scaffold_1	4475530	4482530
scaffold_1	4739200	4742200
scaffold_1	4779200	4782200
scaffold_1	4867200	4885530
scaffold_1	4890200	4896200
scaffold_1	4902200	4908200
scaffold_1	4908530	4920200
scaffold_1	4923200	4929200
scaffold_1	4931200	4937200
scaffold_1	5002200	5006200
scaffold_1	5020200	5026200
scaffold_1	5034200	5041200
scaffold_1	5081200	5085200
scaffold_1	5174200	5180200
scaffold_1	5192200	5197200
scaffold_1	5200200	5206200
scaffold_1	5463200	5466200
scaffold_1	5545330	5551330
scaffold_1	5584330	5629330
scaffold_1	5655330	5658330
scaffold_1	5689330	5693330
scaffold_1	5896200	5899200
scaffold_1	6041330	6048330
scaffold_1	6287330	6293330
scaffold_1	6300330	6306330
scaffold_1	6309330	6313330
scaffold_1	6610330	6615330
scaffold_1	6617330	6620330
scaffold_1	6689330	6693330
scaffold_1	6751430	6756430
scaffold_1	6847430	6851430
scaffold_1	7037430	7043430
scaffold_1	7214430	7234430
scaffold_1	7263860	7266860
scaffold_1	7276860	7305860
scaffold_1	7387860	7394430
scaffold_1	7433430	7443860
scaffold_1	8382390	8389390
scaffold_1	8432390	8438390
scaffold_1	8442390	8452390
scaffold_1	8695390	8698390
scaffold_1	8771390	8782390
scaffold_1	8784390	8791390
scaffold_1	8794440	8798440
scaffold_1	9125440	9140440
scaffold_1	9202110	9209110
scaffold_1	9218110	9221110
